ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
CSCO,0.07787060821513135,1.96,0.07667748181831582,0.07906373461194688,0.2100500021669697
CSX,0.14273254966641158,1.96,0.14153942326959607,0.1439256760632271,0.24165960571569092
CTAS,0.23564901462979276,1.96,0.23445588823297725,0.23684214102660828,0.22417555962991165
CTSH,0.021780395881104708,1.96,0.02058726948428918,0.022973522277920235,0.330334561294185
CVS,-0.019627238480754677,1.96,-0.020820364877570205,-0.01843411208393915,0.24312342966480793
CVX,0.037748608080161075,1.96,0.03655548168334555,0.0389417344769766,0.24896702100744872
CZR,0.20090728430403665,1.96,0.19971415790722113,0.20210041070085216,0.6317557410763205
D,-0.02336209835259872,1.96,-0.024555224749414246,-0.02216897195578319,0.1910473186149344
DAL,-0.007833918422282364,1.96,-0.009027044819097892,-0.0066407920254668365,0.36544212980716984
DE,0.18494860188485035,1.96,0.18375547548803484,0.18614172828166586,0.25489093903609766
DFS,0.0822042406723143,1.96,0.08101111427549877,0.08339736706912983,0.33787599692824444
DG,0.1123075068016872,1.96,0.11111438040487168,0.11350063319850273,0.2700644259962883
DGX,0.08637723200000952,1.96,0.08518410560319399,0.08757035839682505,0.21094776751030833
DHI,0.18434058975567652,1.96,0.183147463358861,0.18553371615249203,0.30719187756201616
DHR,0.17412288142482216,1.96,0.17292975502800664,0.17531600782163767,0.20456401542131977
DIS,0.017137979335270993,1.96,0.015944852938455465,0.01833110573208652,0.24172566679000201
DLR,0.07824315237352054,1.96,0.07705002597670502,0.07943627877033607,0.2361254457133396
DLTR,0.06791947186077747,1.96,0.06672634546396194,0.069112598257593,0.3040056695903897
DOV,0.09381163452570086,1.96,0.09261850812888534,0.09500476092251639,0.24854520324099097
DPZ,0.17066490313330493,1.96,0.16947177673648942,0.17185802953012044,0.2571535650501569
DRI,0.11137384961248628,1.96,0.11018072321567075,0.11256697600930181,0.3149235269951717
DTE,0.041677162799730494,1.96,0.040484036402914966,0.04287028919654602,0.19692665728322986
DUK,0.03584178929143986,1.96,0.03464866289462433,0.037034915688255385,0.1721317804116679
DVA,0.05797114133863471,1.96,0.05677801494181918,0.059164267735450235,0.2851528641742935
DVN,-0.02019295264935152,1.96,-0.021386079046167048,-0.018999826252535993,0.4557377710362473
EA,0.11136937476621651,1.96,0.11017624836940099,0.11256250116303204,0.2530836841025062
EBAY,0.08898436507427869,1.96,0.08779123867746316,0.09017749147109422,0.2625030137324054
ECL,0.07261010386745607,1.96,0.07141697747064055,0.0738032302642716,0.20892886713852923
ED,0.041591203516074336,1.96,0.04039807711925881,0.042784329912889864,0.17844529642142196
EFX,0.11233201011594204,1.96,0.11113888371912652,0.11352513651275757,0.2556511290457925
EIX,0.010392157988128837,1.96,0.009199031591313309,0.011585284384944364,0.2245821551386081
EL,0.09878102809691015,1.96,0.09758790170009463,0.09997415449372568,0.28333763118263233
EMN,0.02328794357126131,1.96,0.022094817174445783,0.02448106996807684,0.26953993505535045
